"Class","RelPath","InBase","InRec","InCur","RecCorrupt","IsText","RecSize"
"CONFLICT_NEW","Servers\Libs\NetTopologySuite\test\NetTopologySuite.Tests.NUnit\TestData\world.wkt","False","True","True","False","False","8160482"
"CORRUPT_TRACKED","Analysis\AnnotationGraphLib\Graph\Neurons\NeuronGraph.cs","True","True","True","True","True","14559"
"CORRUPT_TRACKED","Analysis\AnnotationGraphLib\GraphVizEngine.cs","True","True","True","True","True","11454"
"CORRUPT_TRACKED","Annotation.Geometry\LocationObjExtensions.cs","True","True","True","True","True","5015"
"CORRUPT_TRACKED","AnnotationInterfaces\IStructureReadOnly.cs","True","True","True","True","True","1125"
"CORRUPT_TRACKED","AnnotationServiceTypes\Types\PermittedStructureLink.cs","True","True","True","True","True","3108"
"CORRUPT_TRACKED","AnnotationVizLib\Attribute.cs","True","True","True","True","True","7273"
"CORRUPT_TRACKED","AnnotationVizLib\Graph\Motifs\MotifTLPView.cs","True","True","True","True","True","8956"
"CORRUPT_TRACKED","AnnotationVizLib\GraphVizEngine.cs","True","True","True","True","True","11454"
"CORRUPT_TRACKED","AnnotationVizLibSimpleODataClient\AnnotationVizLibSimpleODataClient.csproj","True","True","True","True","True","5575"
"CORRUPT_TRACKED","AnnotationVizLibSimpleODataClient\SimpleODataMorphologyFactory.cs","True","True","True","True","True","22786"
"CORRUPT_TRACKED","AnnotationVizLibTests\AnnotationVizLibTests.csproj","True","True","True","True","True","12422"
"CORRUPT_TRACKED","AnnotationVizLibTests\MotifGraphTest.cs","True","True","True","True","True","2741"
"CORRUPT_TRACKED","AnnotationVizLibWCFClient\WCFMorphologyFactory.cs","True","True","True","True","True","4172"
"CORRUPT_TRACKED","AnnotationVizLibWCFClient\WCFMotifFactory.cs","True","True","True","True","True","6056"
"CORRUPT_TRACKED","Clients\AnnotationModel\Extensions.cs","True","True","True","True","True","5060"
"CORRUPT_TRACKED","Clients\AnnotationModel\Objects\app.config","True","True","True","True","True","4883"
"CORRUPT_TRACKED","Clients\AnnotationModel\Objects\WCFObjBaseWithKey.cs","True","True","True","True","True","2374"
"CORRUPT_TRACKED","Clients\Bifrost\EKLibrary\GeneratedUI\Root.xaml_bindings.cs","True","True","True","True","True","1003"
"CORRUPT_TRACKED","Clients\Bifrost\Monographics\Scene.cs","True","True","True","True","True","7887"
"CORRUPT_TRACKED","Clients\Bifrost\Viewer.sln","True","True","True","True","True","12449"
"CORRUPT_TRACKED","Clients\Common\Common_4.8.csproj","True","True","True","True","True","6066"
"CORRUPT_TRACKED","Clients\Content\VikingXNAGraphics\RoundCurveHSV.fx","True","True","True","True","True","4659"
"CORRUPT_TRACKED","Clients\Jotunn\AnnotationViewModel\LocationViewModel.cs","True","True","True","True","True","5760"
"CORRUPT_TRACKED","Clients\Jotunn\JotunnCommon\JotunnUICommon.csproj","True","True","True","True","True","4972"
"CORRUPT_TRACKED","Clients\Jotunn\JotunnUIControls\JotunnUIControls.csproj","True","True","True","True","True","6678"
"CORRUPT_TRACKED","Clients\Jotunn\JotunnVolumeView\Properties\AssemblyInfo.cs","True","True","True","True","True","2397"
"CORRUPT_TRACKED","Clients\Jotunn\MonogameWPFLibrary\MonogameCamera3D.cs","True","True","True","True","True","5852"
"CORRUPT_TRACKED","Clients\Jotunn\MonogameWPFLibrary\MonogameWPFLibrary.csproj","True","True","True","True","True","4965"
"CORRUPT_TRACKED","Clients\Jotunn\MonogameWPFLibrary\Views\MonogameMeshView.cs","True","True","True","True","True","9265"
"CORRUPT_TRACKED","Clients\Jotunn\MorphologyView\Converters\MorphologyNodeToBillboardConverter.cs","True","True","True","True","True","5284"
"CORRUPT_TRACKED","Clients\Libs\DotNetZip\1.9\DotNetZip-v1.9-CompactFramework\Debug\Ionic.Zip.CF.XML","True","True","True","True","True","115767"
"CORRUPT_TRACKED","Clients\Libs\DotNetZip\1.9\Zlib-v1.9\Debug\Ionic.Zlib.XML","True","True","True","True","True","144204"
"CORRUPT_TRACKED","Clients\MeasureDistance\MeasureDistance.csproj","True","True","True","True","True","8570"
"CORRUPT_TRACKED","Clients\MeasureDistance\Program.cs","True","True","True","True","True","8760"
"CORRUPT_TRACKED","Clients\MonogameTestbed\BajajMultiTest.cs","True","True","True","True","True","39259"
"CORRUPT_TRACKED","Clients\MonogameTestbed\ColorExtensions.cs","True","True","True","True","True","2586"
"CORRUPT_TRACKED","Clients\MonogameXNAGraphicsShared\ChannelOverlayEffect.cs","True","True","True","True","True","1674"
"CORRUPT_TRACKED","Clients\MonogameXNAGraphicsShared\MeshModel.cs","True","True","True","True","True","5427"
"CORRUPT_TRACKED","Clients\MonogameXNAGraphicsShared\MonogameContent\RoundCurve.fx","True","True","True","True","True","3929"
"CORRUPT_TRACKED","Clients\MonogameXNAGraphicsShared\ServiceContainer.cs","True","True","True","True","True","1391"
"CORRUPT_TRACKED","Clients\MonogameXNAGraphicsShared\TileBlendEffect.cs","True","True","True","True","True","1923"
"CORRUPT_TRACKED","Clients\MonogameXNAGraphicsShared\Views\BillboardViewBase.cs","True","True","True","True","True","5638"
"CORRUPT_TRACKED","Clients\MonogameXNAGraphicsShared\Views\LinkedLineView.cs","True","True","True","True","True","5185"
"CORRUPT_TRACKED","Clients\MonogameXNAGraphicsShared\Views\MeshView.cs","True","True","True","True","True","9352"
"CORRUPT_TRACKED","Clients\MonogameXNAGraphicsShared\Views\TextureOverlayView.cs","True","True","True","True","True","5240"
"CORRUPT_TRACKED","Clients\MonogameXNAGraphicsShared\XNAContent\ChannelOverlayShader.fx","True","True","True","True","True","4297"
"CORRUPT_TRACKED","Clients\Viking\LocalBookmarks\FolderGeneralPage.resx","True","True","True","True","True","6013"
"CORRUPT_TRACKED","Clients\Viking\MeasurementExtension\ScaleForm.Designer.cs","True","True","True","True","True","5751"
